"SWSN_ID","SWSN_Site","EASTING","NORTHING"
1888,"AZ T:16:16",401354.906469554,3656260.24008018
1889,"AZ T:16:17",400029.364075705,3648469.52822995
1890,"AZ T:16:22",404822.239978582,3647610.24520832
1891,"AZ T:16:50",409509.641709521,3647756.59518573
1892,"AZ T:16:67",392755.694787621,3644995.60425428
1893,"AZ U:13:2",416343.40626356,3667490.63163261
1894,"AZ T:16:6",403538.403432116,3679414.29467428
1895,"Casa de Piedras",372945.280480817,3737787.63569999
1896,"AZ T:4:4",379760.606030434,3756106.36979209
1897,"AZ T:4:3",393809.224585339,3743698.6264331
1898,"AZ U:13:103",419028.577561051,3663504.36382885
1899,"AZ T:3:1",381057.040941849,3758303.73862126
1900,"AZ U:13:117",414722.466275543,3670990.81720519
1901,"AZ U:14:44",428593.775619537,3663362.5966997
1902,"AZ U:14:20",436976.91552718,3673051.39848071
1903,"AZ U:14:10",443689.563830942,3672685.42890532
1904,"AZ U:13:217",437536.774241701,3667725.39765707
1905,"AZ U:13:206",430795.998290673,3666075.20886531
1906,"AZ U:13:163",417690.150486752,3663503.70311557
1907,"AZ U:13:123",407832.777458206,3666842.70977183
1908,"AZ AA:3:34",462138.821480528,3640144.93477571
1909,"AZ AA:3:7",466607.285694137,3636755.23163858
1910,"Brazaletes",432763.370278373,3743857.22915514
1911,"AZ U:2:29",431111.23838079,3769837.39435279
1912,"AZ U:2:28",426280.333579972,3753763.16240111
1913,"AZ U:6:10",428898.210467666,3726939.5120399
1914,"AZ O:14:50",444671.214292318,3768834.36470093
1915,"AZ O:14:38",435715.371470869,3776462.97399791
1916,"AZ O:14:37",442329.435836792,3767506.25156754
1917,"AZ O:14:36",426846.604841098,3767766.28219025
1918,"AZ O:14:35",435454.255818173,3756979.38377509
1919,"AZ O:14:34",434240.047813401,3755413.33590591
1920,"AZ U:6:129",437704.147309631,3706805.32040845
1921,"AZ U:13:49",425969.317759052,3678522.5296254
1922,"Deep Well",478271.511162549,3627145.78220616
1923,"AZ AA:3:2",473558.734538585,3651234.39966078
1925,"AZ AA:2:100",441212.011841416,3644432.21577945
1926,"Drip",451199.994090676,3637609.93314642
1927,"AZ AA:2:74",441725.374012545,3617934.35570295
1929,"AZ AA:3:36",459159.115311235,3641670.5120277
1930,"AZ U:6:97",429391.300443828,3726117.31463091
1931,"AZ U:6:82",431387.35579811,3738730.27558637
1932,"AZ U:6:18",448810.876330107,3719204.14547215
